,"The date range of the seasonal run. Winter and Late-fall will have a range by month and year. Spring and Fall will be a full, singular year.",The simplified year of the seasonal run. The ending year of the Winter and Late-fall runs is the simplified year.,"Fall, Winter, Spring and Late-Fall runs.
The Feather River Survey does not provide separate estimates for fall and spring escapement.  Spring-run estimates are included with fall-run estimates.
","The river system can either be 1) Sacramento River, 2) San Joaquin River, or 3) Central Valley. The Central Valley River System is a combination of both the Sacramento and San Joaquin River Systems.","This field only applies to Fall-run counts in the Sacramento River System. There are three reaches: 1) Keswick Dam to Red Bluff Diversion Dam (RBDD), 2) RBDD to Princeton Ferry, and 3) Princeton Ferry to Sacramento. ","Angler Harvest, Carcass, Hatchery, In-River Count, Snorkel, or Transfer.  When available, the carcass survey estimate is used instead of the snorkel survey estimate.  Hatchery estimates account for fish returning to a hatchery. Transfer estimates account for fish that are captured and transferred to a specified hatchery. In-River Count estimates fish escapements within the specified river, although the data collection type is not provided. ","The location of where the estimate or count was taken. In the Sacramento River Main Stem, the escapement estimate may include numbers of fish for tributaries where estimates were not made.",The location of the associated hatchery where either the estimate was taken or fish were transferred. ,The origin of fish that were transferred to a hatchery.,"When available, the specific location along the river is provided. ",The estimated quantity of Chinook escapement. 
Chinook,Nov 1989 - Apr 1990,1990,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"6,792"
Chinook,Nov 1989 - Apr 1990,1990,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,"1,094"
Chinook,Nov 1989 - Apr 1990,1990,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,100
Chinook,1990,1990,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,"1,893"
Chinook,1990,1990,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"3,896"
Chinook,1990,1990,Spring,Central Valley,,Snorkel,Butte Creek,,,,250
Chinook,1990,1990,Spring,Central Valley,,In-River Count,Battle Creek,,,,2
Chinook,1990,1990,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,302
Chinook,1990,1990,Spring,Central Valley,,In-River Count,Deer Creek,,,,496
Chinook,1990,1990,Spring,Central Valley,,In-River Count,Mill Creek,,,,844
Chinook,Dec 1989 - Aug 1990,1990,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,28
Chinook,Dec 1989 - Aug 1990,1990,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,4
Chinook,Dec 1989 - Aug 1990,1990,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,384
Chinook,Dec 1989 - Aug 1990,1990,Winter,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,,14
Chinook,1991,1991,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"31,345"
Chinook,1991,1991,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"17,683"
Chinook,1991,1991,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"10,683"
Chinook,1991,1991,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"6,558"
Chinook,1991,1991,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,41
Chinook,1991,1991,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,42
Chinook,1991,1991,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,77
Chinook,1991,1991,Fall,San Joaquin River,,In-River Count,Merced River,,,,78
Chinook,1991,1991,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,368
Chinook,1991,1991,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,394
Chinook,1991,1991,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,676
Chinook,1991,1991,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"2,026"
Chinook,1991,1991,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"7,128"
Chinook,1991,1991,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"10,108"
Chinook,1991,1991,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"10,717"
Chinook,1991,1991,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"14,008"
Chinook,1991,1991,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"20,523"
Chinook,Nov 1990 - Apr 1991,1991,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,161
Chinook,Nov 1990 - Apr 1991,1991,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"6,493"
Chinook,Nov 1990 - Apr 1991,1991,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,"1,491"
Chinook,Nov 1990 - Apr 1991,1991,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,118
Chinook,1991,1991,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,"4,303"
Chinook,1991,1991,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,59
Chinook,1991,1991,Spring,Central Valley,,In-River Count,Mill Creek,,,,319
Chinook,1991,1991,Spring,Central Valley,,In-River Count,Deer Creek,,,,479
Chinook,1991,1991,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,766
Chinook,Dec 1990 - Aug 1991,1991,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,0
Chinook,Dec 1990 - Aug 1991,1991,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,1
Chinook,Dec 1990 - Aug 1991,1991,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,177
Chinook,Dec 1990 - Aug 1991,1991,Winter,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,,33
Chinook,1992,1992,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"24,105"
Chinook,1992,1992,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"5,911"
Chinook,1992,1992,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"7,275"
Chinook,1992,1992,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"5,433"
Chinook,1992,1992,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Antelope Creek,,,,0
Chinook,1992,1992,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,132
Chinook,1992,1992,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,255
Chinook,1992,1992,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,368
Chinook,1992,1992,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,600
Chinook,1992,1992,Fall,San Joaquin River,,In-River Count,Merced River,,,,618
Chinook,1992,1992,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,710
Chinook,1992,1992,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,935
Chinook,1992,1992,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,999
Chinook,1992,1992,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"1,585"
Chinook,1992,1992,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"6,362"
Chinook,1992,1992,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"6,456"
Chinook,1992,1992,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"8,315"
Chinook,1992,1992,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"16,440"
Chinook,1992,1992,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"23,914"
Chinook,Nov 1991 - Apr 1992,1992,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,344
Chinook,Nov 1991 - Apr 1992,1992,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"8,958"
Chinook,Nov 1991 - Apr 1992,1992,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,431
Chinook,Nov 1991 - Apr 1992,1992,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,398
Chinook,1992,1992,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,"1,497"
Chinook,1992,1992,Spring,Central Valley,,Snorkel,Butte Creek,,,,730
Chinook,1992,1992,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,0
Chinook,1992,1992,Spring,Central Valley,,In-River Count,Antelope Creek,,,,0
Chinook,1992,1992,Spring,Central Valley,,In-River Count,Deer Creek,,,,209
Chinook,1992,1992,Spring,Central Valley,,In-River Count,Mill Creek,,,,237
Chinook,1992,1992,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,371
Chinook,Dec 1991 - Aug 1992,1992,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,44
Chinook,Dec 1991 - Aug 1992,1992,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,3
Chinook,Dec 1991 - Aug 1992,1992,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"1,159"
Chinook,Dec 1991 - Aug 1992,1992,Winter,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,,34
Chinook,1993,1993,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"30,923"
Chinook,1993,1993,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"31,027"
Chinook,1993,1993,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"7,587"
Chinook,1993,1993,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"11,029"
Chinook,1993,1993,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,72
Chinook,1993,1993,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,409
Chinook,1993,1993,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,471
Chinook,1993,1993,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,677
Chinook,1993,1993,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,993
Chinook,1993,1993,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"1,246"
Chinook,1993,1993,Fall,San Joaquin River,,In-River Count,Merced River,,,,"1,269"
Chinook,1993,1993,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,"1,975"
Chinook,1993,1993,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,"2,164"
Chinook,1993,1993,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"6,703"
Chinook,1993,1993,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"10,656"
Chinook,1993,1993,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"11,991"
Chinook,1993,1993,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"12,760"
Chinook,1993,1993,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"33,471"
Chinook,Nov 1992 - Apr 1993,1993,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,528
Chinook,Nov 1992 - Apr 1993,1993,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,339
Chinook,Nov 1992 - Apr 1993,1993,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,400
Chinook,1993,1993,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,"4,672"
Chinook,1993,1993,Spring,Central Valley,,Snorkel,Butte Creek,,,,650
Chinook,1993,1993,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,0
Chinook,1993,1993,Spring,Central Valley,,In-River Count,Clear Creek,,,,1
Chinook,1993,1993,Spring,Central Valley,,In-River Count,Cottonwood Creek,,,,1
Chinook,1993,1993,Spring,Central Valley,,In-River Count,Antelope Creek,,,,3
Chinook,1993,1993,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,38
Chinook,1993,1993,Spring,Central Valley,,In-River Count,Mill Creek,,,,61
Chinook,1993,1993,Spring,Central Valley,,In-River Count,Deer Creek,,,,259
Chinook,1993,1993,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,391
Chinook,Dec 1992 - Aug 1993,1993,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,9
Chinook,Dec 1992 - Aug 1993,1993,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,9
Chinook,Dec 1992 - Aug 1993,1993,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,369
Chinook,1994,1994,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"38,382"
Chinook,1994,1994,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"33,598"
Chinook,1994,1994,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"18,991"
Chinook,1994,1994,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"24,274"
Chinook,1994,1994,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,307
Chinook,1994,1994,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,506
Chinook,1994,1994,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,943
Chinook,1994,1994,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,"1,031"
Chinook,1994,1994,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,"1,081"
Chinook,1994,1994,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,"1,238"
Chinook,1994,1994,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,"1,919"
Chinook,1994,1994,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"2,546"
Chinook,1994,1994,Fall,San Joaquin River,,In-River Count,Merced River,,,,"2,646"
Chinook,1994,1994,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"8,567"
Chinook,1994,1994,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"10,890"
Chinook,1994,1994,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"13,817"
Chinook,1994,1994,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"15,202"
Chinook,1994,1994,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"44,729"
Chinook,Nov 1993 - Apr 1994,1994,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,598
Chinook,Nov 1993 - Apr 1994,1994,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,137
Chinook,Nov 1993 - Apr 1994,1994,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,154
Chinook,1994,1994,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,"3,641"
Chinook,1994,1994,Spring,Central Valley,,Snorkel,Butte Creek,,,,474
Chinook,1994,1994,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,0
Chinook,1994,1994,Spring,Central Valley,,In-River Count,Clear Creek,,,,0
Chinook,1994,1994,Spring,Central Valley,,In-River Count,Antelope Creek,,,,0
Chinook,1994,1994,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,2
Chinook,1994,1994,Spring,Central Valley,,In-River Count,Deer Creek,,,,485
Chinook,1994,1994,Spring,Central Valley,,In-River Count,Mill Creek,,,,723
Chinook,1994,1994,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,862
Chinook,Dec 1993 - Aug 1994,1994,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,0
Chinook,Dec 1993 - Aug 1994,1994,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,0
Chinook,Dec 1993 - Aug 1994,1994,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,144
Chinook,Dec 1993 - Aug 1994,1994,Winter,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,,42
Chinook,1995,1995,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"59,912"
Chinook,1995,1995,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"70,618"
Chinook,1995,1995,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"26,677"
Chinook,1995,1995,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"56,515"
Chinook,1995,1995,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Butte Creek,,,,445
Chinook,1995,1995,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,602
Chinook,1995,1995,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,619
Chinook,1995,1995,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,827
Chinook,1995,1995,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,"2,194"
Chinook,1995,1995,Fall,San Joaquin River,,In-River Count,Merced River,,,,"2,320"
Chinook,1995,1995,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,"3,323"
Chinook,1995,1995,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"6,498"
Chinook,1995,1995,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"9,298"
Chinook,1995,1995,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"10,549"
Chinook,1995,1995,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"12,149"
Chinook,1995,1995,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"14,237"
Chinook,1995,1995,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"53,385"
Chinook,Nov 1994 - Apr 1995,1995,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,323
Chinook,Nov 1994 - Apr 1995,1995,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,166
Chinook,1995,1995,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,"5,414"
Chinook,1995,1995,Spring,Central Valley,,Snorkel,Butte Creek,,,,"7,500"
Chinook,1995,1995,Spring,Central Valley,,In-River Count,Battle Creek,,,,66
Chinook,1995,1995,Spring,Central Valley,,In-River Count,Clear Creek,,,,2
Chinook,1995,1995,Spring,Central Valley,,In-River Count,Antelope Creek,,,,7
Chinook,1995,1995,Spring,Central Valley,,In-River Count,Cottonwood Creek,,,,8
Chinook,1995,1995,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,77
Chinook,1995,1995,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,200
Chinook,1995,1995,Spring,Central Valley,,In-River Count,Mill Creek,,,,320
Chinook,1995,1995,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,349
Chinook,1995,1995,Spring,Central Valley,,In-River Count,Deer Creek,,,,"1,295"
Chinook,Dec 1994 - Aug 1995,1995,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,7
Chinook,Dec 1994 - Aug 1995,1995,Winter,Sacramento River,,Angler Harvest,Sacramento River Main Stem,,,Upstream of RBDD,0
Chinook,Dec 1994 - Aug 1995,1995,Winter,Sacramento River,,In-River Count,Battle Creek,,,,88
Chinook,Dec 1994 - Aug 1995,1995,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"1,159"
Chinook,Dec 1994 - Aug 1995,1995,Winter,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,,43
Chinook,1996,1996,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"57,170"
Chinook,1996,1996,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"69,745"
Chinook,1996,1996,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"21,178"
Chinook,1996,1996,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"52,409"
Chinook,1996,1996,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,168
Chinook,1996,1996,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Butte Creek,,,,500
Chinook,1996,1996,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,"1,141"
Chinook,1996,1996,Fall,San Joaquin River,,In-River Count,Merced River,,,,"3,291"
Chinook,1996,1996,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,"3,883"
Chinook,1996,1996,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,"4,038"
Chinook,1996,1996,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,"4,362"
Chinook,1996,1996,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"5,922"
Chinook,1996,1996,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"7,651"
Chinook,1996,1996,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"8,107"
Chinook,1996,1996,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"12,361"
Chinook,1996,1996,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"27,900"
Chinook,1996,1996,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"71,725"
Chinook,Nov 1995 - Apr 1996,1996,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"1,337"
Chinook,Nov 1995 - Apr 1996,1996,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,48
Chinook,1996,1996,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,"6,381"
Chinook,1996,1996,Spring,Central Valley,,Snorkel,Butte Creek,,,,"1,413"
Chinook,1996,1996,Spring,Central Valley,,In-River Count,Battle Creek,,,,35
Chinook,1996,1996,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,0
Chinook,1996,1996,Spring,Central Valley,,In-River Count,Antelope Creek,,,,1
Chinook,1996,1996,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,2
Chinook,1996,1996,Spring,Central Valley,,In-River Count,Cottonwood Creek,,,,6
Chinook,1996,1996,Spring,Central Valley,,In-River Count,Mill Creek,,,,253
Chinook,1996,1996,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,378
Chinook,1996,1996,Spring,Central Valley,,In-River Count,Deer Creek,,,,614
Chinook,Dec 1995 - Aug 1996,1996,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,0
Chinook,Dec 1995 - Aug 1996,1996,Winter,Sacramento River,,In-River Count,Battle Creek,,,,325
Chinook,Dec 1995 - Aug 1996,1996,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"1,012"
Chinook,1997,1997,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"50,547"
Chinook,1997,1997,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"47,195"
Chinook,1997,1997,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"50,670"
Chinook,1997,1997,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"50,744"
Chinook,1997,1997,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,478
Chinook,1997,1997,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Butte Creek,,,,800
Chinook,1997,1997,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,946
Chinook,1997,1997,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,"1,203"
Chinook,1997,1997,Fall,San Joaquin River,,In-River Count,Merced River,,,,"2,714"
Chinook,1997,1997,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,"3,681"
Chinook,1997,1997,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,"5,588"
Chinook,1997,1997,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"5,650"
Chinook,1997,1997,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,"6,494"
Chinook,1997,1997,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,"7,146"
Chinook,1997,1997,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"8,569"
Chinook,1997,1997,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"15,128"
Chinook,1997,1997,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"20,531"
Chinook,1997,1997,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"25,948"
Chinook,1997,1997,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"98,765"
Chinook,Nov 1996 - Apr 1997,1997,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"4,578"
